"","G","G_pvalue"
"t_t and att",0.735504517497152,0.642357642357642
"t_t and btt",0.330754480142168,0.983016983016983
"t_t and ctt",0.50602279120043,0.913086913086913
"att and btt",1.08568412256704,0.338661338661339
"att and ctt",1.46443329687491,0.124875124875125
"btt and ctt",0.608771699015867,0.808191808191808
